s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"GYPSUM-NET","GYPSUM-CONV","GYPSUM-RAD","GYPSUM-INC","GYPSUM-GAUGE","GYPSUM-RADIO","INERT-NET","INERT-CONV","INERT-RAD","INERT-INC","INERT-GAUGE","INERT-RADIO"
 3.6000909E+001, 5.2037163E+000,-6.2536514E-001, 5.8290815E+000, 1.2469390E+001, 1.2698566E+001, 1.2676017E+001, 8.9574318E+000, 1.4952466E-002, 8.9424791E+000, 1.0369779E+001, 9.9510403E+000, 9.9360876E+000
 3.7003644E+001, 4.4601483E+000,-6.2188488E-001, 5.0820332E+000, 1.0967377E+001, 1.1190752E+001, 1.1170523E+001, 8.6710396E+000, 1.2514638E-002, 8.6585245E+000, 1.0051836E+001, 9.6330976E+000, 9.6205835E+000
 3.8006996E+001, 4.1841297E+000,-6.2461072E-001, 4.8087401E+000, 1.0418051E+001, 1.0642190E+001, 1.0623923E+001, 1.0207750E+001, 1.1222251E-002, 1.0196528E+001, 1.1759437E+001, 1.1340698E+001, 1.1329476E+001
 3.9004359E+001, 4.6262360E+000,-6.2357593E-001, 5.2498121E+000, 1.1315619E+001, 1.1545688E+001, 1.1520457E+001, 8.4185190E+000, 8.1787044E-003, 8.4103403E+000, 9.7717400E+000, 9.3530016E+000, 9.3448229E+000
 4.0003942E+001, 4.7421141E+000,-6.3918090E-001, 5.3812947E+000, 1.1582222E+001, 1.1824451E+001, 1.1802665E+001, 9.1629534E+000, 6.8792775E-003, 9.1560736E+000, 1.0599033E+001, 1.0180295E+001, 1.0173415E+001
 4.1003531E+001, 5.9244165E+000,-6.4672434E-001, 6.5711412E+000, 1.4021880E+001, 1.4294503E+001, 1.4249866E+001, 8.2813129E+000, 3.1438658E-003, 8.2781696E+000, 9.6198483E+000, 9.2011099E+000, 9.1979656E+000
 4.2010504E+001, 6.1895080E+000,-5.3524458E-001, 6.7247529E+000, 1.4513477E+001, 1.4766049E+001, 1.4629983E+001, 8.9433231E+000, 2.3792577E-003, 8.9409447E+000, 1.0355500E+001, 9.9367619E+000, 9.9343824E+000
 4.3000748E+001, 4.5997257E+000,-6.8379945E-001, 5.2835250E+000, 1.1444561E+001, 1.1741006E+001, 1.1709621E+001, 1.0104470E+001, 2.4602094E-003, 1.0102011E+001, 1.1645655E+001, 1.1226916E+001, 1.1224456E+001
 4.4012286E+001, 4.9788647E+000,-6.7111802E-001, 5.6499825E+000, 1.2206361E+001, 1.2506331E+001, 1.2458740E+001, 8.4534607E+000, 3.0838328E-003, 8.4503775E+000, 9.8111296E+000, 9.3923912E+000, 9.3893080E+000
 4.5006206E+001, 5.3678808E+000,-6.9980377E-001, 6.0676847E+000, 1.3057084E+001, 1.3381859E+001, 1.3338150E+001, 1.0333090E+001, 3.2211423E-003, 1.0329869E+001, 1.1899591E+001, 1.1480853E+001, 1.1477633E+001
 4.6005816E+001, 6.4093699E+000,-6.7820549E-001, 7.0875754E+000, 1.5161325E+001, 1.5496886E+001, 1.5420792E+001, 9.6609602E+000, 2.0005019E-002, 9.6409559E+000, 1.1150916E+001, 1.0732178E+001, 1.0712173E+001
 4.7007583E+001, 8.3662329E+000,-5.6067592E-001, 8.9269085E+000, 1.9183861E+001, 1.9554047E+001, 1.9325798E+001, 9.4007912E+000, 1.6261796E-002, 9.3845301E+000, 1.0862255E+001, 1.0443517E+001, 1.0427255E+001
 4.8003416E+001, 6.2583456E+000,-6.6895968E-001, 6.9273052E+000, 1.5023304E+001, 1.5420428E+001, 1.5273526E+001, 1.0432245E+001, 3.9670672E-003, 1.0428278E+001, 1.2009681E+001, 1.1590942E+001, 1.1586975E+001
 4.9007022E+001, 4.9634800E+000,-6.7580181E-001, 5.6392817E+000, 1.2419500E+001, 1.2804545E+001, 1.2676564E+001, 1.0188773E+001, 3.4368394E-003, 1.0185337E+001, 1.1739216E+001, 1.1320477E+001, 1.1317040E+001
 5.0005121E+001, 4.9408183E+000,-8.0653906E-001, 5.7473574E+000, 1.2481106E+001, 1.2901263E+001, 1.2868907E+001, 9.3720274E+000, 3.6874679E-003, 9.3683395E+000, 1.0831692E+001, 1.0412953E+001, 1.0409266E+001
 5.1005745E+001, 5.9856830E+000,-7.7624065E-001, 6.7619238E+000, 1.4600325E+001, 1.5035037E+001, 1.4957827E+001, 8.4164076E+000, 7.1675708E-003, 8.4092398E+000, 9.7695055E+000, 9.3507671E+000, 9.3435993E+000
 5.2003218E+001, 4.2812986E+000,-7.5378150E-001, 5.0350800E+000, 1.1125910E+001, 1.1537811E+001, 1.1460953E+001, 1.0342792E+001, 3.0328403E-003, 1.0339759E+001, 1.1910392E+001, 1.1491653E+001, 1.1488621E+001
 5.3005632E+001, 3.1492369E+000,-7.4439549E-001, 3.8936324E+000, 8.7889919E+000, 9.1740341E+000, 9.1146488E+000, 1.2842427E+001, 3.3003092E-002, 1.2809423E+001, 1.4684434E+001, 1.4265697E+001, 1.4232693E+001
 5.4002173E+001, 3.3691683E+000,-7.5964022E-001, 4.1288085E+000, 9.2088652E+000, 9.5850544E+000, 9.5497675E+000, 1.1564645E+001, 8.2385177E-003, 1.1556406E+001, 1.3267427E+001, 1.2848689E+001, 1.2840451E+001
 5.5006604E+001, 4.0542536E+000,-6.9103247E-001, 4.7452860E+000, 1.0525978E+001, 1.0888940E+001, 1.0798272E+001, 1.3948163E+001, 9.1457509E-002, 1.3856706E+001, 1.5906535E+001, 1.5487797E+001, 1.5396339E+001
 5.6001172E+001, 4.1621318E+000,-7.8485185E-001, 4.9469833E+000, 1.0849829E+001, 1.1244121E+001, 1.1215941E+001, 9.9661331E+000, 1.0155256E-002, 9.9559784E+000, 1.1491092E+001, 1.1072353E+001, 1.1062198E+001
 5.7000802E+001, 5.0209098E+000,-7.7397859E-001, 5.7948885E+000, 1.2621470E+001, 1.3037630E+001, 1.2976710E+001, 8.8335171E+000, 4.1108918E-003, 8.8294058E+000, 1.0233300E+001, 9.8145618E+000, 9.8104515E+000
 5.8010385E+001, 3.4990160E+000,-7.8428417E-001, 4.2833004E+000, 9.5408068E+000, 9.9417295E+000, 9.9063520E+000, 8.7412672E+000, 2.7949642E-003, 8.7384720E+000, 1.0130947E+001, 9.7122087E+000, 9.7094135E+000
 5.9005636E+001, 5.5430341E+000,-7.9437321E-001, 6.3374076E+000, 1.3702745E+001, 1.4131230E+001, 1.4078380E+001, 7.7935896E+000, 4.5903455E-003, 7.7889991E+000, 9.0777721E+000, 8.6590338E+000, 8.6544437E+000
 6.0009762E+001, 4.6703143E+000,-8.0629122E-001, 5.4766054E+000, 1.1996012E+001, 1.2437107E+001, 1.2383565E+001, 8.6284008E+000, 1.8712153E-003, 8.6265297E+000, 1.0005642E+001, 9.5869036E+000, 9.5850325E+000
